"SecurityID","Symbol","ContractCode","ShortName","TradingDate","DataType","ExchangeCode","CallOrPut","UnderlyingSecurityID","Filling","ContinueSign","MainSign","PreClosePrice","PreSettlePrice","PrePosition","PositionChange","AvgPrice","ClosePriceChangeRatio","SettlePriceChangeRatio","Amplitude","LimitUp","LimitDown","InitialMargin","MaintainingMargin","InitialMarginRatio","MaintainingMarginRatio","ChangeRatio"
"209000000108","10000028","600104P1403M01400","上汽集团沽3月1400","2014-01-14","2","SSE","P","201000003456","0","P9803","2","","","","","1.5374","","","","2.8810","0.2790","","24142.5000","","36.8307",""
"209000000114","10000034","600104C1406M01500","上汽集团购6月1500","2014-01-14","2","SSE","C","201000003456","0","P9804","2","","","","","0.6558","","","","1.6810","0.0010","","10042.5000","","15.3204",""
"209000000096","10000016","600104P1402M01200","上汽集团沽2月1200","2014-01-14","2","SSE","P","201000003456","0","P9802","2","","","","","0.2387","","","","1.3560","0.0010","","12047.5000","","18.3791",""
"209000000118","10000038","600104P1406M01400","上汽集团沽6月1400","2014-01-14","2","SSE","P","201000003456","0","P9804","2","","","","","1.8203","","","","3.1760","0.5740","","25587.5000","","39.0351",""
"209000000097","10000017","600104P1402M01300","上汽集团沽2月1300","2014-01-14","2","SSE","P","201000003456","0","P9802","2","","","","","0.6212","","","","1.8840","0.0010","","20087.5000","","30.6445",""
"209000000109","10000029","600104P1403M01500","上汽集团沽3月1500","2014-01-14","2","SSE","P","201000003456","0","P9803","2","","","","","2.2488","","","","3.6010","0.9990","","27582.5000","","42.0786",""
"209000000119","10000039","600104P1406M01500","上汽集团沽6月1500","2014-01-14","2","SSE","P","201000003456","0","P9804","2","","","","","2.3134","","","","3.6510","1.0490","","27862.5000","","42.5057",""
"209000000098","10000018","600104P1402M01400","上汽集团沽2月1400","2014-01-14","2","SSE","P","201000003456","0","P9802","2","","","","","1.4301","","","","2.7990","0.1970","","23717.5000","","36.1823",""
"209000000110","10000030","600104P1403M01600","上汽集团沽3月1600","2014-01-14","2","SSE","P","201000003456","0","P9803","2","","","","","3.3142","","","","4.6850","2.0830","","33472.5000","","51.0641",""
"209000000099","10000019","600104P1402M01500","上汽集团沽2月1500","2014-01-14","2","SSE","P","201000003456","0","P9802","2","","","","","2.1730","","","","3.5310","0.9290","","27182.5000","","41.4683",""
"209000000100","10000020","600104P1402M01600","上汽集团沽2月1600","2014-01-14","2","SSE","P","201000003456","0","P9802","2","","","","","3.3140","","","","4.6850","2.0830","","33472.5000","","51.0641",""
"209000000115","10000035","600104C1406M01600","上汽集团购6月1600","2014-01-14","2","SSE","C","201000003456","0","P9804","2","","","","","0.4249","","","","1.3900","0.0010","","9590.0000","","14.6301",""
"209000000101","10000021","600104C1403M01200","上汽集团购3月1200","2014-01-14","2","SSE","C","201000003456","0","P9803","2","","","","","2.6287","","","","4.0690","1.4670","","29277.5000","","44.6644",""
"209000000111","10000031","600104C1406M01200","上汽集团购6月1200","2014-01-14","2","SSE","C","201000003456","0","P9804","2","","","","","3.5960","","","","4.7490","2.1470","","32387.5000","","49.4088",""
"209000000080","90000080","510180P1406M02100","180ETF沽6月2100","2014-01-14","2","SSE","P","202000001396","0","P9804","2","","","","","0.2279","","","","0.4200","0.0380","","5107.0000","","26.6267",""
"209000000102","10000022","600104C1403M01300","上汽集团购3月1300","2014-01-14","2","SSE","C","201000003456","0","P9803","2","","","","","1.0339","","","","2.2480","0.0010","","21397.5000","","32.6430",""
"209000000145","10000065","601318C1403M04500","中国平安购3月4500","2014-01-14","2","SSE","C","201000004264","0","P9803","2","","","","","0.6661","","","","4.0430","0.0010","","5733.5000","","14.3373",""
"209000000143","10000063","601318C1403M04000","中国平安购3月4000","2014-01-14","2","SSE","C","201000004264","0","P9803","2","","","","","2.1679","","","","6.0750","0.0010","","12368.5000","","30.9290",""
"209000000152","10000072","601318C1406M03750","中国平安购6月3750","2014-01-14","2","SSE","C","201000004264","0","P9804","2","","","","","4.6520","","","","8.5160","0.6260","","14872.5000","","37.1905",""
"209000000146","10000066","601318P1403M03500","中国平安沽3月3500","2014-01-14","2","SSE","P","201000004264","0","P9803","2","","","","","0.5902","","","","3.6550","0.0010","","5532.5000","","13.8347",""
